Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Ross Barkley,Midfielder,24,Everton,Premier League,Chelsea,Premier League,17-18,25000000,16900000
Dani Ceballos,Midfielder,20,Real Betis,LaLiga,Real Madrid,LaLiga,17-18,10000000,16500000
Wesley Hoedt,Defender,23,Lazio,Serie A,Southampton,Premier League,17-18,7500000,16400000
Chris Wood,Forward,25,Leeds,Championship,Burnley,Premier League,17-18,6000000,16400000
Sam Clucas,Midfielder,26,Hull City,Championship,Swansea,Premier League,17-18,2500000,16300000
Simone Zaza,Forward,26,Juventus,Serie A,Valencia CF,LaLiga,17-18,15000000,16000000
Yuri Berchiche,Defender,27,Real Sociedad,LaLiga,Paris SG,Ligue 1,17-18,10000000,16000000
Emanuel Mammana,Defender,21,Olympique Lyon,Ligue 1,Zenit S-Pb,Premier Liga,17-18,7000000,16000000
Badou Ndiaye,Midfielder,27,Galatasaray,Süper Lig,Stoke City,Premier League,17-18,7000000,16000000
Jean-Kévin Augustin,Forward,20,Paris SG,Ligue 1,RB Leipzig,1.Bundesliga,17-18,3000000,16000000
Oliver Burke,Midfielder,20,RB Leipzig,1.Bundesliga,West Brom,Premier League,17-18,7000000,15200000
Fernando Llorente,Forward,32,Swansea,Premier League,Spurs,Premier League,17-18,6000000,15100000
Ricardo Rodríguez,Defender,24,VfL Wolfsburg,1.Bundesliga,AC Milan,Serie A,17-18,17000000,15000000
José Izquierdo,Midfielder,25,Club Brugge,Jupiler Pro League,Brighton,Premier League,17-18,14000000,15000000
Konstantinos Mitroglou,Forward,29,Benfica,Liga NOS,Marseille,Ligue 1,17-18,12000000,15000000
Terence Kongolo,Defender,23,Feyenoord,Eredivisie,Monaco,Ligue 1,17-18,10000000,15000000
Giovanni Simeone,Forward,22,Genoa,Serie A,Fiorentina,Serie A,17-18,10000000,15000000
Vicente Iborra,Midfielder,29,Sevilla FC,LaLiga,Leicester,Premier League,17-18,9000000,15000000
Sebastián Driussi,Forward,21,River Plate,Primera División,Zenit S-Pb,Premier Liga,17-18,8000000,15000000
Gianluca Caprari,Forward,23,Inter,Serie A,Sampdoria,Serie A,17-18,6000000,15000000
Francis Coquelin,Midfielder,26,Arsenal,Premier League,Valencia CF,LaLiga,17-18,12000000,14000000
Enes Ünal,Forward,20,Man City,Premier League,Villarreal CF,LaLiga,17-18,10000000,14000000
Rúben Semedo,Defender,23,Sporting CP,Liga NOS,Villarreal CF,LaLiga,17-18,9000000,14000000
Rick Karsdorp,Defender,22,Feyenoord,Eredivisie,AS Roma,Serie A,17-18,9000000,14000000
Thiago Maia,Midfielder,20,Santos FC,Série A,LOSC Lille,Ligue 1,17-18,3000000,14000000
Jay Rodríguez,Forward,27,Southampton,Premier League,West Brom,Premier League,17-18,10000000,13700000
Harry Maguire,Defender,24,Hull City,Championship,Leicester,Premier League,17-18,8000000,13700000
Marten de Roon,Midfielder,26,Middlesbrough,Championship,Atalanta,Serie A,17-18,10000000,13500000
Cengiz Ünder,Midfielder,20,Basaksehir,Süper Lig,AS Roma,Serie A,17-18,5000000,13400000
Wilfried Bony,Forward,28,Man City,Premier League,Swansea,Premier League,17-18,18000000,13000000
Bruma,Midfielder,22,Galatasaray,Süper Lig,RB Leipzig,1.Bundesliga,17-18,11000000,13000000
Marko Rog,Midfielder,21,Dinamo Zagreb,1.HNL,SSC Napoli,Serie A,17-18,10000000,13000000
Davy Pröpper,Midfielder,25,PSV Eindhoven,Eredivisie,Brighton,Premier League,17-18,10000000,13000000
Sandro Wagner,Forward,30,TSG Hoffenheim,1.Bundesliga,Bayern Munich ,1.Bundesliga,17-18,9000000,13000000
Steve Mounié,Forward,22,Montpellier,Ligue 1,Huddersfield,Premier League,17-18,5500000,13000000
Emre Mor,Midfielder,20,Bor. Dortmund,1.Bundesliga,Celta de Vigo,LaLiga,17-18,5000000,13000000
Juan Foyth,Defender,19,Estudiantes,Primera División,Spurs,Premier League,17-18,NA,13000000
Roque Mesa,Midfielder,28,UD Las Palmas,LaLiga,Swansea,Premier League,17-18,12000000,12500000
Bruno Peres,Defender,27,Torino,Serie A,AS Roma,Serie A,17-18,11000000,12500000
Simon Kjær,Defender,28,Fenerbahce,Süper Lig,Sevilla FC,LaLiga,17-18,11000000,12500000
Yevhen Konoplyanka,Midfielder,27,Sevilla FC,LaLiga,FC Schalke 04,1.Bundesliga,17-18,10000000,12500000
Sven Bender,Defender,28,Bor. Dortmund,1.Bundesliga,Bay. Leverkusen,1.Bundesliga,17-18,7000000,12500000
Richarlison,Midfielder,20,Fluminense,Série A,Watford,Premier League,17-18,2000000,12400000
Alex Pritchard,Midfielder,24,Norwich,Championship,Huddersfield,Premier League,17-18,5000000,12350000
Ezequiel Barco,Midfielder,18,Independiente,Primera División,Atlanta United,MLS,17-18,6500000,12280000
Wojciech Szczesny,Goalkeeper,27,Arsenal,Premier League,Juventus,Serie A,17-18,17000000,12200000
Ömer Toprak,Defender,27,Bay. Leverkusen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,17-18,16000000,12000000
Mahmoud Dahoud,Midfielder,21,Bor. M'gladbach,1.Bundesliga,Bor. Dortmund,1.Bundesliga,17-18,15000000,12000000
Gerard Deulofeu,Midfielder,23,Everton,Premier League,FC Barcelona,LaLiga,17-18,12000000,12000000
Pablo Fornals,Midfielder,21,Málaga CF,LaLiga,Villarreal CF,LaLiga,17-18,10000000,12000000
Mattia De Sciglio,Defender,24,AC Milan,Serie A,Juventus,Serie A,17-18,8500000,12000000
Adrián Ramos,Forward,31,Bor. Dortmund,1.Bundesliga,CQ Dangdai Lif.,Super League,17-18,5000000,12000000
Denis Zakaria,Midfielder,20,BSC Young Boys,Super League,Bor. M'gladbach,1.Bundesliga,17-18,4000000,12000000
Pedro Rocha,Midfielder,22,Grêmio,Série A,Spartak Moscow,Premier Liga,17-18,1500000,12000000
Douglas Luiz,Midfielder,19,Vasco da Gama,Série A,Man City,Premier League,17-18,NA,12000000
Yerry Mina,Defender,23,Palmeiras,Série A,FC Barcelona,LaLiga,17-18,9000000,11800000
Jordan Rhodes,Forward,27,Middlesbrough,Championship,Sheff Wed,Championship,17-18,10000000,11700000
Asmir Begovic,Goalkeeper,30,Chelsea,Premier League,Bournemouth,Premier League,17-18,8000000,11500000
Lucas Pratto,Forward,29,São Paulo,Série A,River Plate,Primera División,17-18,4500000,11500000
Martin Braithwaite,Forward,26,Toulouse,Ligue 1,Middlesbrough,Championship,17-18,7500000,11300000
Jacob Murphy,Midfielder,22,Norwich,Championship,Newcastle,Premier League,17-18,1000000,11300000
Florian Thauvin,Midfielder,24,Newcastle,Premier League,Marseille,Ligue 1,17-18,18000000,11000000
Gabriel Paulista,Defender,26,Arsenal,Premier League,Valencia CF,LaLiga,17-18,13000000,11000000
Martin Terrier,Midfielder,20,LOSC Lille,Ligue 1,Olympique Lyon,Ligue 1,17-18,12000000,11000000
Guilherme Arana,Defender,20,Corinthians,Série A,Sevilla FC,LaLiga,17-18,10000000,11000000
Stevan Jovetic,Forward,27,Inter,Serie A,Monaco,Ligue 1,17-18,10000000,11000000
Jonathan Viera,Midfielder,28,UD Las Palmas,LaLiga,BJ Sinobo Guoan,Super League,17-18,8000000,11000000
Jô,Forward,30,Corinthians,Série A,Nagoya Grampus,J1 League,17-18,4000000,11000000
Nikola Vlasic,Midfielder,19,Hajduk Split,1.HNL,Everton,Premier League,17-18,4000000,10800000
Marc Bartra,Defender,27,Bor. Dortmund,1.Bundesliga,Real Betis,LaLiga,17-18,15000000,10500000
Rodrigo Bentancur,Midfielder,20,Boca Juniors,Primera División,Juventus,Serie A,17-18,6000000,10500000
Luiz Araújo,Midfielder,21,São Paulo,Série A,LOSC Lille,Ligue 1,17-18,500000,10500000
Jordan Hugill,Forward,25,Preston NE,Championship,West Ham,Premier League,17-18,3000000,10200000
Luiz Gustavo,Midfielder,29,VfL Wolfsburg,1.Bundesliga,Marseille,Ligue 1,17-18,12000000,10000000
Lorenzo Pellegrini,Midfielder,21,Sassuolo,Serie A,AS Roma,Serie A,17-18,12000000,10000000
Ignacio Camacho,Midfielder,27,Málaga CF,LaLiga,VfL Wolfsburg,1.Bundesliga,17-18,10000000,10000000
Marco Benassi,Midfielder,22,Torino,Serie A,Fiorentina,Serie A,17-18,9500000,10000000
Diafra Sakho,Forward,28,West Ham,Premier League,Stade Rennais,Ligue 1,17-18,8000000,10000000
Bertrand Traoré,Midfielder,21,Chelsea,Premier League,Olympique Lyon,Ligue 1,17-18,8000000,10000000
Landry Dimata,Forward,19,KV Oostende,Jupiler Pro League,VfL Wolfsburg,1.Bundesliga,17-18,6500000,10000000
Florian Lejeune,Defender,26,SD Eibar,LaLiga,Newcastle,Premier League,17-18,5000000,10000000
Roberto Inglese,Forward,25,Chievo Verona,Serie A,SSC Napoli,Serie A,17-18,4500000,10000000
Adam Ounas,Midfielder,20,G. Bordeaux,Ligue 1,SSC Napoli,Serie A,17-18,4000000,10000000
Loïs Diony,Forward,24,Dijon,Ligue 1,Saint-Étienne,Ligue 1,17-18,3000000,10000000
Nicolas Pépé,Midfielder,22,SCO Angers,Ligue 1,LOSC Lille,Ligue 1,17-18,3000000,10000000
Allan Saint-Maximin,Midfielder,20,Monaco,Ligue 1,OGC Nice,Ligue 1,17-18,3000000,10000000
Adama Diakhaby,Forward,21,Stade Rennais,Ligue 1,Monaco,Ligue 1,17-18,1500000,10000000
Pape Cheikh,Midfielder,20,Celta de Vigo,LaLiga,Olympique Lyon,Ligue 1,17-18,800000,10000000
Bruno Fernandes,Midfielder,22,Sampdoria,Serie A,Sporting CP,Liga NOS,17-18,7500000,9690000
Marcos Acuña,Midfielder,25,Racing Club,Primera División,Sporting CP,Liga NOS,17-18,7000000,9590000
Tom Cleverley,Midfielder,27,Everton,Premier League,Watford,Premier League,17-18,8000000,9300000
Rui Fonte,Forward,27,Braga,Liga NOS,Fulham,Championship,17-18,3000000,9130000
Will Hughes,Midfielder,22,Derby,Championship,Watford,Premier League,17-18,8000000,9100000
Tom Ince,Midfielder,25,Derby,Championship,Huddersfield,Premier League,17-18,7000000,9100000
Aaron Mooy,Midfielder,26,Man City,Premier League,Huddersfield,Premier League,17-18,5000000,9100000
Jack Cork,Midfielder,28,Swansea,Premier League,Burnley,Premier League,17-18,5000000,9100000
Jonathas,Forward,28,Rubin Kazan,Premier Liga,Hannover 96,1.Bundesliga,17-18,7000000,9000000
Emiliano Rigoni,Midfielder,24,Independiente,Primera División,Zenit S-Pb,Premier Liga,17-18,7000000,9000000
Andrew Robertson,Defender,23,Hull City,Championship,Liverpool,Premier League,17-18,7000000,9000000
Gastón Ramírez,Midfielder,26,Middlesbrough,Championship,Sampdoria,Serie A,17-18,6000000,9000000
Jairo Riedewald,Defender,20,AFC Ajax,Eredivisie,Crystal Palace,Premier League,17-18,5000000,9000000
Thiago Mendes,Midfielder,25,São Paulo,Série A,LOSC Lille,Ligue 1,17-18,3500000,9000000
Kévin Malcuit,Defender,25,Saint-Étienne,Ligue 1,LOSC Lille,Ligue 1,17-18,3000000,9000000
Younès Belhanda,Midfielder,27,Dynamo Kyiv,Premier Liga,Galatasaray,Süper Lig,17-18,9000000,8750000
Guido Pizarro,Midfielder,27,Tigres UANL,Liga MX Clausura,Sevilla FC,LaLiga,17-18,4000000,8700000
Adnan Januzaj,Midfielder,22,Man Utd,Premier League,Real Sociedad,LaLiga,17-18,7000000,8500000
Serge Gnabry,Midfielder,21,Werder Bremen,1.Bundesliga,Bayern Munich ,1.Bundesliga,17-18,15000000,8000000
Valère Germain,Forward,27,Monaco,Ligue 1,Marseille,Ligue 1,17-18,10000000,8000000
Juan Jesus,Defender,26,Inter,Serie A,AS Roma,Serie A,17-18,7500000,8000000
Soualiho Meïté,Midfielder,23,Zulte Waregem,Jupiler Pro League,Monaco,Ligue 1,17-18,7000000,8000000
Sofiane Hanni,Midfielder,27,RSC Anderlecht,Jupiler Pro League,Spartak Moscow,Premier Liga,17-18,7000000,8000000
Henry Onyekuru,Midfielder,20,KAS Eupen,Jupiler Pro League,Everton,Premier League,17-18,7000000,8000000
Hirving Lozano,Midfielder,21,CF Pachuca,Liga MX Clausura,PSV Eindhoven,Eredivisie,17-18,6500000,8000000
Matías Kranevitter,Midfielder,24,Atlético Madrid,LaLiga,Zenit S-Pb,Premier Liga,17-18,6000000,8000000
Davie Selke,Forward,22,RB Leipzig,1.Bundesliga,Hertha BSC,1.Bundesliga,17-18,6000000,8000000
Nicolas de Préville,Forward,26,LOSC Lille,Ligue 1,G. Bordeaux,Ligue 1,17-18,5500000,8000000
Havard Nordtveit,Defender,27,West Ham,Premier League,TSG Hoffenheim,1.Bundesliga,17-18,5000000,8000000
Mariano Díaz,Forward,23,Real Madrid,LaLiga,Olympique Lyon,Ligue 1,17-18,5000000,8000000
Vitor Hugo,Defender,26,Palmeiras,Série A,Fiorentina,Serie A,17-18,4500000,8000000
Miha Mevlja,Defender,27,Rostov,Premier Liga,Zenit S-Pb,Premier Liga,17-18,4000000,8000000
Admir Mehmedi,Forward,26,Bay. Leverkusen,1.Bundesliga,VfL Wolfsburg,1.Bundesliga,17-18,3500000,8000000
Wanderson,Midfielder,22,RB Salzburg,Bundesliga,Krasnodar,Premier Liga,17-18,2750000,8000000
Sone Aluko,Forward,28,Fulham,Championship,Reading,Championship,17-18,2500000,8000000
Amine Harit,Midfielder,20,FC Nantes,Ligue 1,FC Schalke 04,1.Bundesliga,17-18,2000000,8000000
Alessandro Bastoni,Defender,18,Atalanta,Serie A,Inter,Serie A,17-18,1500000,8000000
Rafik Guitane,Midfielder,18,AC Le Havre,Ligue 2,Stade Rennais,Ligue 1,17-18,150000,8000000
Jadon Sancho,Midfielder,17,Man City U18,U18 Premier League,Bor. Dortmund,1.Bundesliga,17-18,NA,7840000
Alexander Sörloth,Forward,22,FC Midtjylland,Superligaen Championship round,Crystal Palace,Premier League,17-18,2000000,7800000
Bruno Martins Indi,Defender,25,FC Porto,Liga NOS,Stoke City,Premier League,17-18,11000000,7700000
Filippo Romagna,Defender,20,Juventus,Serie A,Cagliari Calcio,Serie A,17-18,1000000,7600000
Jonathan Cafú,Midfielder,26,Ludogorets,A Grupa - Championship gr.,G. Bordeaux,Ligue 1,17-18,10000000,7500000
Kieran Gibbs,Defender,27,Arsenal,Premier League,West Brom,Premier League,17-18,10000000,7500000
Maicon,Defender,28,São Paulo,Série A,Galatasaray,Süper Lig,17-18,8000000,7500000
Wendel,Midfielder,20,Fluminense,Série A,Sporting CP,Liga NOS,17-18,7500000,7500000
Christian Atsu,Midfielder,25,Chelsea,Premier League,Newcastle,Premier League,17-18,5000000,7500000
Badou Ndiaye,Midfielder,26,Osmanlispor,Süper Lig,Galatasaray,Süper Lig,17-18,5000000,7500000
Maximilian Wöber,Defender,19,Rapid Vienna,Bundesliga,AFC Ajax,Eredivisie,17-18,700000,7500000
Ashley Fletcher,Forward,21,West Ham,Premier League,Middlesbrough,Championship,17-18,1000000,7300000
Santiago Ascacíbar,Midfielder,20,Estudiantes,Primera División,VfB Stuttgart,1.Bundesliga,17-18,7500000,7200000
Yuning Zhang,Forward,20,Vitesse,Eredivisie,West Brom,Premier League,17-18,700000,7200000
Avilés Hurtado,Midfielder,30,Club Tijuana,Liga MX Clausura,Monterrey,Liga MX Clausura,17-18,2500000,7130000
Björn Engels,Defender,22,Club Brugge,Jupiler Pro League,Olympiacos,Super League,17-18,8000000,7100000
Éver Banega,Midfielder,29,Inter,Serie A,Sevilla FC,LaLiga,17-18,16000000,7000000
Nolito,Midfielder,30,Man City,Premier League,Sevilla FC,LaLiga,17-18,12000000,7000000
Ryad Boudebouz,Midfielder,27,Montpellier,Ligue 1,Real Betis,LaLiga,17-18,10000000,7000000
Giuliano,Midfielder,27,Zenit S-Pb,Premier Liga,Fenerbahce,Süper Lig,17-18,9000000,7000000
Jordan Veretout,Midfielder,24,Aston Villa,Championship,Fiorentina,Serie A,17-18,9000000,7000000
Konrad Laimer,Midfielder,20,RB Salzburg,Bundesliga,RB Leipzig,1.Bundesliga,17-18,8000000,7000000
Sébastien Haller,Forward,23,FC Utrecht,Eredivisie,E. Frankfurt,1.Bundesliga,17-18,8000000,7000000
Diego Llorente,Defender,23,Real Madrid,LaLiga,Real Sociedad,LaLiga,17-18,7500000,7000000
Clinton N'Jie,Forward,23,Spurs,Premier League,Marseille,Ligue 1,17-18,7000000,7000000
Marcelo,Defender,30,Besiktas,Süper Lig,Olympique Lyon,Ligue 1,17-18,6500000,7000000
Jorge Meré,Defender,20,Sporting Gijón,LaLiga2,1. FC Köln,1.Bundesliga,17-18,6000000,7000000
Víctor Camarasa,Midfielder,23,Levante UD,LaLiga,Real Betis,LaLiga,17-18,5000000,7000000
Kylian Mbappé,Midfielder,19,Monaco,Ligue 1,Paris SG,Ligue 1,18-19,120000000,135000000
Cristiano Ronaldo,Forward,33,Real Madrid,LaLiga,Juventus,Serie A,18-19,100000000,117000000
Thomas Lemar,Midfielder,22,Monaco,Ligue 1,Atlético Madrid,LaLiga,18-19,65000000,70000000
Riyad Mahrez,Midfielder,27,Leicester,Premier League,Man City,Premier League,18-19,50000000,67800000
Alisson,Goalkeeper,25,AS Roma,Serie A,Liverpool,Premier League,18-19,60000000,62500000
Naby Keïta,Midfielder,23,RB Leipzig,1.Bundesliga,Liverpool,Premier League,18-19,65000000,60000000
Fred,Midfielder,25,Shakhtar D.,Premier Liga,Man Utd,Premier League,18-19,32000000,59000000
Jorginho,Midfielder,26,SSC Napoli,Serie A,Chelsea,Premier League,18-19,50000000,57000000
Fabinho,Midfielder,24,Monaco,Ligue 1,Liverpool,Premier League,18-19,45000000,45000000
Vinícius Júnior,Midfielder,18,Flamengo,Série A,Real Madrid,LaLiga,18-19,35000000,45000000
Malcom,Midfielder,21,G. Bordeaux,Ligue 1,FC Barcelona,LaLiga,18-19,45000000,41000000
João Cancelo,Defender,24,Valencia CF,LaLiga,Juventus,Serie A,18-19,35000000,40400000
Douglas Costa,Midfielder,27,Bayern Munich ,1.Bundesliga,Juventus,Serie A,18-19,55000000,40000000
Richarlison,Midfielder,21,Watford,Premier League,Everton,Premier League,18-19,25000000,39200000
Radja Nainggolan,Midfielder,30,AS Roma,Serie A,Inter,Serie A,18-19,45000000,38000000
Felipe Anderson,Midfielder,25,Lazio,Serie A,West Ham,Premier League,18-19,30000000,38000000
Clément Lenglet,Defender,23,Sevilla FC,LaLiga,FC Barcelona,LaLiga,18-19,25000000,35900000
Arthur,Midfielder,21,Grêmio,Série A,FC Barcelona,LaLiga,18-19,30000000,31000000
Jean Michaël Seri,Midfielder,27,OGC Nice,Ligue 1,Fulham,Premier League,18-19,30000000,30000000
Lucas Torreira,Midfielder,22,Sampdoria,Serie A,Arsenal,Premier League,18-19,30000000,30000000
Aleksandr Golovin,Midfielder,22,CSKA Moscow,Premier Liga,Monaco,Ligue 1,18-19,25000000,30000000
Álvaro Odriozola,Defender,22,Real Sociedad,LaLiga,Real Madrid,LaLiga,18-19,25000000,30000000
Fabián Ruiz,Midfielder,22,Real Betis,LaLiga,SSC Napoli,Serie A,18-19,20000000,30000000
Anthony Modeste,Forward,30,1. FC Köln,2.Bundesliga,TJ Quanjian,Super League,18-19,16000000,29000000
Abdou Diallo,Defender,22,1.FSV Mainz 05,1.Bundesliga,Bor. Dortmund,1.Bundesliga,18-19,12000000,28000000
Geoffrey Kondogbia,Midfielder,25,Inter,Serie A,Valencia CF,LaLiga,18-19,30000000,25000000
Simone Verdi,Midfielder,25,Bologna,Serie A,SSC Napoli,Serie A,18-19,25000000,25000000
Issa Diop,Defender,21,Toulouse,Ligue 1,West Ham,Premier League,18-19,22000000,25000000
Bernd Leno,Goalkeeper,26,Bay. Leverkusen,1.Bundesliga,Arsenal,Premier League,18-19,20000000,25000000
Jannik Vestergaard,Defender,25,Bor. M'gladbach,1.Bundesliga,Southampton,Premier League,18-19,14000000,25000000
James Maddison,Midfielder,21,Norwich,Championship,Leicester,Premier League,18-19,10000000,25000000
Javier Pastore,Midfielder,29,Paris SG,Ligue 1,AS Roma,Serie A,18-19,15000000,24700000
Yuri Berchiche,Defender,28,Paris SG,Ligue 1,Athletic Bilbao,LaLiga,18-19,17000000,24000000
Alassane Pléa,Forward,25,OGC Nice,Ligue 1,Bor. M'gladbach,1.Bundesliga,18-19,18000000,23000000
Ricardo Pereira,Defender,24,FC Porto,Liga NOS,Leicester,Premier League,18-19,20000000,22000000
Diogo Dalot,Defender,19,FC Porto,Liga NOS,Man Utd,Premier League,18-19,15000000,22000000
Alex Meret,Goalkeeper,21,Udinese Calcio,Serie A,SSC Napoli,Serie A,18-19,12000000,22000000
Lucas Digne,Defender,25,FC Barcelona,LaLiga,Everton,Premier League,18-19,15000000,20200000
Aleksandar Mitrovic,Forward,23,Newcastle,Premier League,Fulham,Premier League,18-19,15000000,20200000
William Carvalho,Midfielder,26,Sporting CP,Liga NOS,Real Betis,LaLiga,18-19,25000000,20000000
Rodri,Midfielder,22,Villarreal CF,LaLiga,Atlético Madrid,LaLiga,18-19,25000000,20000000
Andriy Yarmolenko,Midfielder,28,Bor. Dortmund,1.Bundesliga,West Ham,Premier League,18-19,23000000,20000000
Gerard Moreno,Forward,26,Espanyol,LaLiga,Villarreal CF,LaLiga,18-19,20000000,20000000
Nikola Kalinic,Forward,30,Fiorentina,Serie A,AC Milan,Serie A,18-19,14000000,20000000
Thomas Delaney,Midfielder,26,Werder Bremen,1.Bundesliga,Bor. Dortmund,1.Bundesliga,18-19,12000000,20000000
Rolando Mandragora,Midfielder,21,Juventus,Serie A,Udinese Calcio,Serie A,18-19,10000000,20000000
Terence Kongolo,Defender,24,Monaco,Ligue 1,Huddersfield,Premier League,18-19,10000000,20000000
Willem Geubbels,Midfielder,16,Olympique Lyon,Ligue 1,Monaco,Ligue 1,18-19,6000000,20000000
Alireza Jahanbakhsh,Midfielder,24,AZ Alkmaar,Eredivisie,Brighton,Premier League,18-19,18000000,19000000
Duje Caleta-Car,Defender,21,RB Salzburg,Bundesliga,Marseille,Ligue 1,18-19,10000000,19000000
Paulinho,Midfielder,18,Vasco da Gama,Série A,Bay. Leverkusen,1.Bundesliga,18-19,25000000,18500000
Karl Toko Ekambi,Forward,25,SCO Angers,Ligue 1,Villarreal CF,LaLiga,18-19,18000000,18000000
Mohamed Elyounoussi,Midfielder,23,FC Basel,Super League,Southampton,Premier League,18-19,8500000,18000000
Justin Kluivert,Midfielder,19,AFC Ajax,Eredivisie,AS Roma,Serie A,18-19,15000000,17250000
Duván Zapata,Forward,27,SSC Napoli,Serie A,Sampdoria,Serie A,18-19,20000000,17000000
Yves Bissouma,Midfielder,21,LOSC Lille,Ligue 1,Brighton,Premier League,18-19,8000000,16900000
Lautaro Martínez,Forward,20,Racing Club,Primera División,Inter,Serie A,18-19,25000000,16000000
